number_of_topic,supervised,unsupervised
1,0.6140350877192983,0.22807017543859648
2,0.49122807017543857,0.17543859649122806
3,0.45614035087719296,0.2982456140350877
4,0.49122807017543857,0.2631578947368421
5,0.5087719298245614,0.14035087719298245
6,0.49122807017543857,0.17543859649122806
7,0.47368421052631576,0.17543859649122806
8,0.49122807017543857,0.24561403508771928
9,0.543859649122807,0.19298245614035087
10,0.5789473684210527,0.22807017543859648
11,0.5614035087719298,0.14035087719298245
12,0.5087719298245614,0.2631578947368421
13,0.6491228070175439,0.2807017543859649
14,0.5964912280701754,0.2631578947368421
15,0.5614035087719298,0.3333333333333333
